Alkon hinnasto 19.11.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
914694;Catena Nicasia Vineyard Malbec 2019;Catena Zapata;0,75 l;64.90;86.53;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2019;Uco Valley;;Malbec, ;Täyteläinen, tanniininen, mustaherukkainen, vaniljainen, luumuinen;pullo;luonnonkorkki;14.0;5.3;2;;;;80.0;tilausvalikoima;7794450092717
480037;Chakana Nuna Vineyard Cabernet Franc 2019;Proviva;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Luján de Cuyo;For Life;Cabernet Franc, ;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän karhunvatukkainen, herukkainen, mustapippurinen, kaakaoinen, kevyen tamminen;pullo;luonnonkorkki;13.5;5.1;3;;;;80.0;vakiovalikoima;7798108621151
410098;Chill Out Malbec Organic Argentina 2022 muovipullo;Altia;1 l;13.99;13.59;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Mendoza;Reilu kauppa;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, luumuinen, kevyen mausteinen;muovipullo;muovisuljin;13.5;4.6;;;;;80.0;vakiovalikoima;6412703011599
450517;Domaine Bousquet Reserve Organic Malbec 2021;Domaine Bousquet;0,75 l;16.99;22.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Tupungato;;Malbec, ;Täyteläinen, tanniininen, karhunvatukkainen, hapankirsikkainen, kuivatun karpaloinen, kevyen mustapippurinen, tamminen;pullo;luonnonkorkki;14.5;4.9;0;;;;80.0;vakiovalikoima;7798101650431
466657;Domaine Bousquet Virgen Organic Malbec 2022;Domaine Bousquet;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Tupungato Valley;Ei lisättyä sulfiittia;Malbec, ;Täyteläinen, tanniininen, tumman kirsikkainen, herukkainen, kevyen karpaloinen, mausteinen;pullo;metallinen kierrekapseli;14.0;6.2;0;;;;80.0;vakiovalikoima;7798101653722
955287;Elsa Bianchi Malbec 2018;Valentin Bianchi;0,75 l;11.50;15.2;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, marjainen, mausteinen, aromikas;pullo;metallinen kierrekapseli;13.5;5.4;3;;;;80.0;tilausvalikoima;7790703165443
901277;Emma Zuccardi Bonarda 2020;Familia Zuccardi;0,75 l;33.98;45.31;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Bonarda, ;Täyteläinen, tanniininen, aromikas, mausteinen, kirsikkainen;pullo;luonnonkorkki;13.5;5.7;2;;;;80.0;tilausvalikoima;7791728001730
456707;Famiglia Bianchi Malbec 2021;Valentin Bianchi;0,75 l;13.90;18.4;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;San Rafael;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, karpaloinen, herukkainen, kirsikkainen, luumuinen, kevyen kahvinen;pullo;luonnonkorkki;14.5;4.9;0;;;;80.0;vakiovalikoima;7790703167645
006504;Finca Flichman Caballero de la Cepa Cabernet Sauvignon 2015;Finca Flichman;0,75 l;9.77;12.89;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, ;Keskitäyteläinen, keskitanniininen, karpaloinen, tumman kirsikkainen, yrttinen, kevyen minttuinen, hennon havuinen;pullo;metallinen kierrekapseli;14.0;4.6;0;;;;80.0;vakiovalikoima;7790470051000
453037;Finca Monteflores Cabernet Franc 2022;La Casa Del Ray;0,75 l;14.60;19.33;uutuus;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2022;Mendoza;Reilu kauppa. Saattaa sisältää sakkaa;Cabernet Franc, ;Täyteläinen, tanniininen, herukkainen, boysenmarjainen, tumman kirsikkainen, hennon metsämansikkainen, mausteinen;pullo;muu suljenta;14.0;4.9;2;;;;80.0;vakiovalikoima;7798057484081
902403;Flechas de Los Andes Aguaribay 2019;Flechas de Los Andes;0,75 l;21.99;29.32;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2019;;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, mausteinen, karhunvatukkahilloinen;pullo;luonnonkorkki;14.0;5.4;6;;;;80.0;tilausvalikoima;7798128520106
930156;Flechas de Los Andes Gran Corte 2018;Flechas de Los Andes;0,75 l;44.60;59.47;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2018;;Saattaa sisältää sakkaa;Cabernet Franc, Malbec, Shiraz, Nascetta, ;Täyteläinen, tanniininen, mausteinen;pullo;luonnonkorkki;14.5;5.3;0;;;;80.0;tilausvalikoima;7798128520045
458667;Fuzion The Coffee Shop Red Blend 2022;La Agricola;0,75 l;11.99;15.85;;110;punaviinit;Mehevä & Hilloinen;vegaaninen;;Argentiina;Mendoza;2022;Mendoza;Saattaa sisältää sakkaa;Malbec, Bonarda, ;Täyteläinen, keskitanniininen, karhunvatukkainen, mustikkainen, tumman kirsikkainen, hennon maustepippurinen;pullo;metallinen kierrekapseli;14.5;5.1;6;;;;80.0;vakiovalikoima;7791728010299
950851;Graffigna Centenario Malbec 2021;VSPT Argentina Wine Group;0,75 l;13.09;17.32;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2021;;;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mausteinen, tumman kirsikkainen;pullo;synteettinen korkki;13.5;5.4;3;;;;80.0;tilausvalikoima;7790168000570
927447;Kaiken Cabernet Sauvignon 2021;Kaiken;0,75 l;12.98;17.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mausteinen, yrttinen, tamminen;pullo;metallinen kierrekapseli;14.0;5.0;3;;;;80.0;tilausvalikoima;7804303555006
480007;Kaiken Estate Malbec 2021;Kaiken;0,75 l;12.50;16.53;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, mustaherukkainen, hennon minttuinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.0;5.2;0;;;;80.0;vakiovalikoima;7804303555013
421677;Kaiken Obertura Cabernet Franc 2018;Kaiken;0,75 l;46.00;61.33;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Cabernet Franc, ;Täyteläinen, tanniininen, mustaherukkainen, kypsän karpaloinen, kevyen luumuinen, hennon suklainen, mausteinen, tamminen;pullo;luonnonkorkki;14.5;5.4;3;;;;80.0;erikoiserä;7804303000803
935847;Kaiken Ultra Malbec 2020;Kaiken;0,75 l;19.99;26.52;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, mustaherukkainen, kirsikkahilloinen, mustikkainen, karpaloinen, tamminen;pullo;luonnonkorkki;14.5;5.5;;;;;80.0;vakiovalikoima;7804303555037
495047;La Mascota Dark Bat Syrah 2020;La Mascota;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2020;Mendoza;;Syrah, ;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, tumman luumuinen, kevyen kaakaoinen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.1;2;;;;80.0;vakiovalikoima;7790762054092
481297;Lorca Poético Cabernet Franc 2017;Bodega Foster Lorca;0,75 l;20.40;27.07;;110;punaviinit;Mehevä & Hilloinen;vegaaninen;;Argentiina;Mendoza;2017;Uco Valley;;Cabernet Franc, ;Täyteläinen, tanniininen, hapankirsikkainen, boysenmarjainen, luumuinen, hennon tummasuklainen, mausteinen, tamminen;pullo;luonnonkorkki;14.5;5.2;2;;;;80.0;vakiovalikoima;7798103160860
460107;Luigi Bosca Cabernet Franc  2015;Bodega Luigi Bosca;0,75 l;21.90;29.07;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Luján de Cuyo;Saattaa sisältää sakkaa;Cabernet Franc, ;Täyteläinen, tanniininen, hapankirsikkainen, viikunainen, karpaloinen, herukkainen, yrttinen, tamminen;pullo;luonnonkorkki;14.0;5.8;;;;;80.0;vakiovalikoima;7791203001521
430377;Luigi Bosca Cabernet Sauvignon 2019;Luigi Bosca;0,75 l;19.89;26.39;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, kypsän karpaloinen, hapankirsikkainen, kevyen viikunainen, hennon tallinen, tamminen;pullo;luonnonkorkki;14.0;5.3;0;;;;80.0;vakiovalikoima;7791203001248
466907;Luigi Bosca De Sangre Malbec 2020;Bodega Luigi Bosca;0,75 l;21.90;29.07;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;DOC Luján de Cuyo;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, herukkainen, tumman kirsikkainen, mausteinen, kevyen tamminen;pullo;luonnonkorkki;14.5;5.2;0;;;;80.0;vakiovalikoima;7791203000142
910867;Masi Tupungato Passo Doble 2021;Masi Tupungato;0,75 l;16.99;22.52;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2021;Valle de Uco;;Corvina, Malbec, ;Täyteläinen, keskitanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;14.0;5.5;2;;;;80.0;tilausvalikoima;8002062001607
935515;Mendel Cabernet Franc 2020;Mendel Wines;0,75 l;29.98;39.97;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Valle de Uco;Saattaa sisältää sakkaa;Cabernet Franc, ;Täyteläinen, tanniininen, pippurinen, vadelmainen, kirsikkainen;pullo;luonnonkorkki;14.5;5.9;2;;;;80.0;tilausvalikoima;7798125630907
491857;Mendel Finca Remota Malbec 2020;Mendel Wines;0,75 l;83.00;110.67;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Valle de Uco;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, boysenmarjainen, kypsän karpaloinen, luumuinen, vadelmainen, tummasuklainen, kevyen orvokkinen, mausteinen, tamminen, pitkä;pullo;luonnonkorkki;14.5;4.9;3;;;;80.0;erikoiserä;7798125631812
